"en_CAN_starca_int"	"2017-04-30 18:00:53"	"Tornadoes barrel through east Texas, killing at least five and injuring dozens "	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/30/tornadoes-barrel-through-east-texas-killing-at-least-five-and-injuring-dozens/texas-weather2.jpg.size.xxlarge.original.jpg""/><br/>Authorities are still assessing the damage from the storms that swept through an area about 80 kilometres east of Dallas on Saturday evening.
          
          "	"USA"
"en_CAN_starca_int"	"2017-04-30 17:30:17"	"Swiss climber killed while preparing for Mount Everest ascent"	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/30/renowned-swiss-climber-killed-near-mount-everest-in-nepal/nepal-cilmber3-1.jpg.size.xxlarge.original.jpg""/><br/>Ueli Steck was one of the most-renowned mountaineers of his generation, best known for his speed-climbing. 
          
          "	"CHE"
"en_CAN_starca_int"	"2017-04-30 17:14:04"	"Turkey threatens more strikes on U.S.-backed Kurdish fighters in Syria, Iraq "	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/30/turkey-threatens-more-strikes-on-us-backed-kurdish-fighters-in-syria-iraq/us-syria-kurds.jpg.size.xxlarge.original.jpg""/><br/>Kurdish officials described the U.S. troop movement over the weekend along the Syrian border as a “buffer” between them and Turkey.
          
          "	"IRQ"
"en_CAN_starca_int"	"2017-04-30 17:14:04"	"Turkey threatens more strikes on U.S.-backed Kurdish fighters in Syria, Iraq "	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/30/turkey-threatens-more-strikes-on-us-backed-kurdish-fighters-in-syria-iraq/us-syria-kurds.jpg.size.xxlarge.original.jpg""/><br/>Kurdish officials described the U.S. troop movement over the weekend along the Syrian border as a “buffer” between them and Turkey.
          
          "	"SYR"
"en_CAN_starca_int"	"2017-04-30 17:14:04"	"Turkey threatens more strikes on U.S.-backed Kurdish fighters in Syria, Iraq "	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/30/turkey-threatens-more-strikes-on-us-backed-kurdish-fighters-in-syria-iraq/us-syria-kurds.jpg.size.xxlarge.original.jpg""/><br/>Kurdish officials described the U.S. troop movement over the weekend along the Syrian border as a “buffer” between them and Turkey.
          
          "	"TUR"
"en_CAN_starca_int"	"2017-04-30 16:55:03"	"Trump calls Philippine President Duterte to affirm ‘warm, working relationship’ "	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/30/trump-calls-philippine-president-duterte-to-affirm-warm-working-relationship/duterte-trumpjpg.jpg.size.xxlarge.original.jpg""/><br/>Duterte’s response to the call reflects a friendlier attitude he has taken with Trump versus the antagonistic stance he had toward Obama, who he once asked to “go to hell.”
          
          "	"PHL"
"en_CAN_starca_int"	"2017-04-30 16:55:03"	"Trump calls Philippine President Duterte to affirm ‘warm, working relationship’ "	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/30/trump-calls-philippine-president-duterte-to-affirm-warm-working-relationship/duterte-trumpjpg.jpg.size.xxlarge.original.jpg""/><br/>Duterte’s response to the call reflects a friendlier attitude he has taken with Trump versus the antagonistic stance he had toward Obama, who he once asked to “go to hell.”
          
          "	"USA"
"en_CAN_starca_int"	"2017-04-30 14:12:17"	"Trump snubs — then trolls — White House Correspondents’ Dinner "	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/30/trump-snubs-then-trolls-white-house-correspondents-dinner/woodwardbernstein.jpg.size.xxlarge.original.jpg""/><br/>In the absence of star guest Donald Trump, 2017’s dinner lacked the usual A-listers and refocused on the defence of press freedom. Meanwhile, at Samantha Bee’s “Not the White House Correspondents’ Dinner”…
          
          "	"USA"
"en_CAN_starca_int"	"2017-04-30 02:29:00"	"Washington climate march draws massive crowd amid sweltering heat"	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/29/washington-climate-march-occurs-amid-sweltering-heat/washington-3.jpg.size.xxlarge.original.jpg""/><br/>The demonstration coincided with U.S. President Donald Trump’s first 100 days in office. 
          
          "	"USA"
"en_CAN_starca_int"	"2017-04-30 02:27:09"	"Tensions rise between Turkey, U.S. along Syrian border"	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/29/tensions-rise-between-turkey-us-along-syrian-border/us-troops.jpg.size.xxlarge.original.jpg""/><br/>The relocation of Turkish troops to an area near the border with Syria comes a day after U.S. troops were seen patrolling the border.
          
          "	"SYR"
"en_CAN_starca_int"	"2017-04-30 02:27:09"	"Tensions rise between Turkey, U.S. along Syrian border"	"
          
          	<img src=""https://www.thestar.com/content/dam/thestar/news/world/2017/04/29/tensions-rise-between-turkey-us-along-syrian-border/us-troops.jpg.size.xxlarge.original.jpg""/><br/>The relocation of Turkish troops to an area near the border with Syria comes a day after U.S. troops were seen patrolling the border.
          
          "	"TUR"
